"","Brewery_id","Beer_name","Beer_ID","ABV","IBU","Style","Ounces","Brewery_name","City","State"
"1",1,"Get Together",2692,0.045,50,"American IPA",16,"NorthGate Brewing ","Minneapolis"," MN"
"2",1,"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16,"NorthGate Brewing ","Minneapolis"," MN"
"3",1,"Wall's End",2690,0.048,19,"English Brown Ale",16,"NorthGate Brewing ","Minneapolis"," MN"
"4",1,"Pumpion",2689,0.06,38,"Pumpkin Ale",16,"NorthGate Brewing ","Minneapolis"," MN"
"5",1,"Stronghold",2688,0.06,25,"American Porter",16,"NorthGate Brewing ","Minneapolis"," MN"
"6",1,"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16,"NorthGate Brewing ","Minneapolis"," MN"
